0,1,2,3,4
2,1,2,3,4
3,-0.027777778,1,incel,"wazzat?..hail To chief wrote, respon oh_really_now: aw, syphedleds-riddl cfant rile up. boo ffackedng hoo. pathet lame comment shove deep dry, elderli sne1tch choke it, grandma.it' pedg-ffack moron liber like vote disast WH cost trillion threw countri toilet. huge favor go fuckoffanddi agony. it'll first time miser exist actual someth worthwhile. In meantime, sfa\u0107k glisten conservatism, bedt\u0107h."
4,-0.375,1,incel,"make dumb comment, deserv dumb answer."
5,-0.333333333,1,incel,"anyway i'm out, I hope peopl enjoy hide behind user names. noth show intellig like unabl stand words. peopl pathetic."
6,0,0,not incel,make incel?
7,0.366666667,0,not incel,I dont social anxieti feel stress strangers. Im good peopl know though
8,0,0,not incel,"surviv fittest case ugliest, ugli stay activ"
9,-0.345833333,0,not incel,"yeah, i'v never shorter either dwarf sort muscl disease. even major famili member height-mog me.i'v quit woman either height shorter course, tend prefer tall (base coupl i'v seen least)."
10,0,0,not incel,"yes, 5'7 dont see male."
11,0.8,0,not incel,forum great cope.
12,0,0,not incel,"welcom hell friend, cookies."
13,0,0,not incel,"never girl, never parti friends, never enjoy anyth I did.now wast prime year life rot online. I alway imagin i'd someth much wor"
14,0.15,0,not incel,i'm way friend mani mani year extend bullying. I would rather normal I could friend
15,-0.388888889,0,not incel,wannab tough manlet here. check forum I decid join around interact like-mind people.
16,0.25,0,not incel,I forum sinc first day creation first time click thread.
17,0,0,not incel,hello registerusernam i'm incel.
18,0,0,not incel,I cultur despi fat landwhal ugli roastie.
19,0,0,not incel,gun head aoba volcel hyuga incel maya chad
20,0.175,0,not incel,A 26-yo nur home employ commit ü??grave sexual actü?? old woman dementia.a professor psychiatri psycholog explain ü??sexual expect young highü?? ü??reject play roleü??.stop explain male violenc incel theory.
21,-0.1,0,not incel,look like could get 10 year jail
22,0.35,0,not incel,"fact case got public could go either way. judg might feel pressur lock warning, might fear backlash men. If foid judg good job dont death penalti UK"
23,0.2,0,not incel,He look friend cau lonely. I much love lone people.
24,0,0,not incel,case heard magistrates' court. three judges.
25,0,0,not incel,He might avoid prison life ruined.
26,0,0,not incel,maximum penalti magistrates' court impo offenc six months. If impo 10-year sentenc would move case crown court front differ judge.
27,-0.05,0,not incel,"In uk, crimin case start either magistrates' court crown court. seriou case like rape, murder, organ crime go straight crown court automatically. minor case drive offences, common assault, petti theft heard magistrates' court."
28,-0.048611111,0,not incel,"sexual assault ""either way"" offence; either court. magistr send case crown court trial mean griffiths' case particularli serious."
29,-0.06,0,not incel,"He touch arm waist, clothed, sensit parts. age differ 2 years; he' posit respon her. he' young, social awkward, volunteers, student decent university. He prior crimin record."
30,-0.016666667,0,not incel,"UK prison overcrowded, american prison are, stop american judg give stupidli long sentenc nonviol crimes."
31,0.158333333,0,not incel,"I surpri walk away fine, commun servic order, and/or mental health treatment order. mayb suspend sentence."
32,0,1,incel,"lol act like watch basketb forever, 8 year moron"
33,0,0,not incel,world beyond saving.
34,0,0,not incel,"hi life alreadi ruined. jfl autist enough googl ""how make friend""."
35,-0.20625,0,not incel,"fact prison overcrowd there' crimewav knife crime like UK mean avoid jail, never gone court."
36,0,0,not incel,"""sensit gender"" woman total replac"
37,0.066666667,0,not incel,"peopl argu heü?? 19 old enough understand autism isnü??t excu etc etc etc, thing happen week ago autist boy five year old. five."
38,0.025,0,not incel,autist boy (and male sex general) attack.
39,-0.066666667,0,not incel,societi jail long touch woman. excuse.
40,0,0,not incel,"woman say this, demand charg show initiative, touch even kiss her."
41,0,0,not incel,imagin world life could potenti ruin - chad touch woman arm.
42,-0.016666667,0,not incel,I think would breast I moved. first happen I think much it. I forgot I exam thought weird behaviour.'
43,0,0,not incel,"know? know, I noth schedul day, I might go check out."
44,0,0,not incel,make account buy roasti judg watches.
45,-0.1,0,not incel,If we'd put jail
46,0.068181818,0,not incel,"tag suifuel. see ruin evening, even though actual noth new."
47,-0.375,0,not incel,unbelievable. A chad walk random woman make pandem
48,0.2,0,not incel,meanwhil incel would get sent jail 10 year sexual abuse.
49,0.5,0,not incel,I love peopl say look matter.
50,0,0,not incel,hope catch aid covid.
51,0.0375,0,not incel,"it?? unfair, I I would go jail ""he hot"" it?? okay."
52,0,0,not incel,rape doesnt exist chad
53,0.35,0,not incel,thank sweet angel. mood complet ruined.
54,0,0,not incel,If ugli would say kill fed alligators.
55,0.25,0,not incel,sexual harass claim normi incel only.
56,0.16,0,not incel,"thatü?? chad, thatü?? high tier normie. sub6 law."
57,0.142857143,0,not incel,peopl say human femal deserv right
58,0,0,not incel,teenag foid lust chad
59,0,1,incel,ye let BE like countri listzeig heil white trash trailer rubbish
60,-0.15,1,incel,sdjammer - true american idiot...
61,-1,1,incel,"quit harass me. I know are, stop. it' pathetic."
62,-0.8,1,incel,So villag uganda idiot? probabl kampala.
63,0,1,incel,promi lick roid bleed. So happen still stuck daddy' ball ass?
64,-0.038888889,1,incel,"shut fuck up? If seriou depress person, would kill already. comment alway crappi full negativity. stop."
65,0.175,1,incel,lmao dummi mani time said bitch please. I realiz slower shit least attemp keep lmao
66,-0.4,1,incel,No girl ever snort you.it' fuck over.
67,0.416666667,1,incel,Ur fat gay
68,-0.4,1,incel,"fatass goober let rapist prison could rape again, time murder witnesses. fuck huckabee."
69,-0.8,1,incel,meinsenkaye007: ha! idiot
70,0,1,incel,hell left boss? shut whini ho.
71,-0.466666667,1,incel,yeah saw shit yahoo. fuck idiot guy promot rapist idea chad/incel inequ reality.
72,0,1,incel,shame use sock puppet troll account.
73,0.2,1,incel,"thanks, i'm pictur incel mario. rage princess peach, damn stacey, cock carousel."
74,0.2,1,incel,"bitch phantom trynna attack . lmfao wanna talk tolerance, mf wanna see someon love disord I make fun it, dare stay quiet. lmfao stfu go back room incel"
75,0.05,1,incel,"damn bro incel sure fuck found post, dude say ps5 buy onlyfans. get bag"
76,-0.8,1,incel,a$ap autumn stupid bitch countri state
77,-0.8,1,incel,idiot. stop now.
78,-0.375,1,incel,weak bitch
79,0,1,incel,"hell naw pay attent fat said, get dick"
80,-0.07,1,incel,nba ref need get high horses... fuckingggg scum
81,-0.178571429,1,incel,"miriam santiago hallucinating.. think time ombudswoman conchita carpio investig senat miriam santiago color corona.. liar, A thief on...it despic senat interpret law defend corona twist law favor (corona).. idiot senat miriam.. think time junk put trash liabil corrupt woman...wa it, 38 million peso worth hou construct posh villag manila neighbor abhor presenc there..am right that..good commit suicid cannot go life parent certifi corrupt...includ husband say...mahiya magpakamatay lang...mayb redeemed..."
82,-0.4,1,incel,fuck ross fuck saigon fuck U bitch nigga fuck music............it art imit life
83,-0.1,1,incel,muthafucka justin beiber manni pacquiao. singer boxer lilttl white boy doesnt know shit fight probabl fist time even touch glove
84,0,1,incel,nahh I AM like you'r pussi cracker....stfu fag!
85,-0.09,1,incel,"quit honest, platform xbox, ps3 PC realli matter long passion game enjoy gaming, stfu stupid fan boys, stop bitch internet get play games!"
86,-0.8,1,incel,you'r moron.
87,-0.566666667,1,incel,whi pose dodger fan idiot? might clear histori moron. anoth skirt fan exposed!
88,-0.366203704,1,incel,"look wilfr brimley, realli stupid... diebeetez act again... need see profess dementia suffer from... communist state? rest obamanit creat whole country... salut number #1 middl fingers... reason countri go drain half countri dumb (I know realli tough) dumber (nearli impossible)"
89,-0.9,1,incel,I say all.. let retard basement?
90,-0.165625,1,incel,"It seem pirazolo(sp?) cri advanc stupid stori SI gop crybabi losers. As far union hate goes, lanza maliotaki pick NY afl-cio endorsements. denounc them? As far abysm economy, better was, long way go. I guess gonna four year fix mess parti made."
91,-0.5,0,incel,A custodi sentenc longer 6 month highli unlikely.
92,0.45,1,incel,"stfu absolut dumbass bag. bush play golf cheney forbid pictur taken US soldiers' casket home probabl great far concerned.when water tree liberti water tree intelligence, too. mayb day sprout get 0 iq."
93,0.131944444,1,incel,zimmerman great dont dare disrespect him..you black monkey femal primat wor blackmal .that reason rich blackmen alway get white latina wife .you stink disgust nappi hair dirti black skin gorilla lip ashi elbow smell like dodo brown .
94,0,1,incel,mother pussy!
95,-0.65,1,incel,"So 7, stupid get right?\ror where' link J. powers?\rcrap. i'll lame explan powers."
96,0.158730159,1,incel,"check hurt f* let! anywho... none business. say ...your'll f left right centr , (terribl grammar spell loser)... about? think know now... ? Do know I am? *juju voice* I could black,white, indian, coloured, purple, male, female, gay, straight... think got figur now.... eish!"
97,-0.423611111,1,incel,"fuck black power, dumb fuck.. shut fuck idiot.. asshol alway gotta bring race someth ruin everything.."
98,-1,0,incel,"across epitom entitl whoring, freedom leeching, obama licking, america hate liber parasite!"
99,-1,1,incel,moron!
100,0,1,incel,"paranoid delu teabaggi faggi must suckl craze rush limberg weenie. must dream suck flush limberger, because, act irrational."
101,0.016666667,1,incel,"oh get fuck outta polit shit man, wuz direct asswhole. would behind made song dookie, use differ analogy.and song wack know exactli wack music sound like. song make perfect senc need hatin black peopl like planet congradul ones. comment eat shit fuckk"
102,-0.404761905,1,incel,"yea, guess right. I work microsoft pussi + kool-aid = evil fuck!"
103,-0.4,1,incel,whp fuck googl comment bitch nigga stfu
104,-0.141666667,1,incel,"white woman' perspect date black men, educ black men. black woman fuck thug earli adulthood, get knock up, never given nerdi black guy chanc corny. meanwhile, white woman appreci brain charact swag earli stage adulthood hold onto valu throughout life, notic reject black men. So now, see video white woman snatch black woman rejected. life bitch. mad? black woman failur true womanhood. saying."
105,-0.375,1,incel,"too, please. unless consid weed drug.then dumb."
106,0.041666667,1,incel,bitch I bet wouldnt say black person face. internet gangster like funny.
107,-0.775,1,incel,gee fed-ex close (delivery) saturday moron :(
108,-0.9,1,incel,f'n retard
109,-0.4,1,incel,bitch still answer question. fuck clip lebron? answer fuck face.
110,-0.1,1,incel,olsen really? kidding. fuck creep
111,-0.8,1,incel,you'r idiot spammer.it' like romney fusion-danc slapchop guy.
112,-0.283333333,1,incel,"i'm sharkb8mast r/incels, 21 year old, probabl mental retard around failure. I might dead 4 years."
113,-0.8,0,incel,"incel council, grant rank truecel"
114,-0.425,1,incel,"I MM fan rather unfair band members, cant blame pogo dont know ever spoken either them, shut fuck fuck arseholes, sever mm' band mate spoken manson realli like work poor ginger paid lower band mates, get bloodi life"
115,0,1,incel,would never kill forc put I track say anoth word kill
116,-0.4,1,incel,I meant claim U fuck boi...............bwhahhahahaha
117,-0.0875,1,incel,"even gents, 27 ricecel, heightcel, bookcel, sometim wonder vocel, quit sure i'd put dick dumb cunt point. I work banking. femoid employ regard fag friend small build. wa lucki enough born korean. Im chinese, koreaboo/weaboo pussi me. Im make buck teeth fuck joke at."
118,-0.6,0,incel,"thing desperate, manipul peopl avoid incel."
119,-0.458333333,1,incel,peepin sayin batteri bullshit out. keep energ bullshit. mindless consum believ fairyt mainstream artist talk about. notic money talk thing say peopl gettin money like 95% idiot support clowns. talk dumb asses.*wait shut go get money broke nigga comment*
120,0,1,incel,nobodi listen dickhead below. he' get peopl like him.also repli look like dickhead. I warn all.
121,0.4,1,incel,sound queer
122,-0.166666667,1,incel,fuck insan go jail 10(!) year touch someon arm. even daili mail forum peopl complain that.
123,-0.015909091,1,incel,"shit everi bitch know. spanish, white, black,asian,italian,german,european,russian,austrian, new zealander, canadian,persian,scandinavian,etc. get bitches...fuck talk bout."
124,0,1,incel,"need get beat bad!your BF husband bitch nigga, disciplin fat"
125,-0.333333333,1,incel,f*cking serious. goddamn
126,-0.8,1,incel,"anoth idiot comment you, wonder idiot."
127,-0.291666667,1,incel,dont play hard get bitch drink beer smoke expect give pussi up.
128,-0.4,1,incel,fuck bout ignor bitch
129,-0.2,1,incel,"We alreadi gazillion law book protect consumers. obama democrat protect consum stupid choic consumer' ignorance. routin ron white appropri titl Ca fix stupid appli mani consum nowadays. We could enact enough law protect consum assum monthli incom $600, afford monthli mortgag $500 plu food, util etc. like poor alway us, intelligent."
130,0,1,incel,still loser troll!
131,0.5,1,incel,nigga hilarious.
132,-0.8,1,incel,moron chargerin
133,0,0,not incel,"know? know, I noth schedul day, I might go check out."
